population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_education,year
11,18181.818,.16666667,1212.0896,.83333331,7272.5376,6666.4927,20807.539,2.8611112,.072725378,.00081738958,.18181819,96,1,3,2006
5,40000,.33333334,2020.1494,.66666663,6060.4482,5050.3735,14141.046,2.3333333,.060604483,.0011501031,.40000001,97,1,3,2006
4,0,0,0,1,4040.2988,4040.2988,9090.6719,2.2499998,.04040299,0,0,98,1,3,2006
3,66666.664,.5,2020.1494,.5,4040.2988,3030.2241,5050.3735,1.25,.04040299,.00078322383,.66666669,99,1,3,2006
2,0,0,0,1,2020.1494,2020.1494,2020.1494,1,.020201495,0,0,100,1,3,2006
1,0,1,2020.1494,0,2020.1494,,,,.020201495,.00039985616,,106,1,3,2006
476,2100.8403,.020958472,2061.803,.97904152,100000,98141.82,1633842.6,16.338427,1,0,.02066635,65,1,4,2006
542,1660.5166,.016487442,1614.7504,.98351258,97938.195,97017.789,1535700.8,15.680305,.97938198,.00032606523,.016605167,66,1,4,2006
564,2304.9646,.022813022,2197.429,.97718698,96323.445,95114.859,1438683,14.935959,.96323442,.00077819452,.023049647,67,1,4,2006
510,2156.8628,.021352176,2009.7952,.97864783,94126.016,93060.82,1343568.1,14.274142,.94126016,.0011112052,.021568628,68,1,4,2006
439,2961.2756,.029180696,2688.0154,.97081929,92116.219,90772.211,1250507.4,13.575322,.92116219,.0019521016,.029612757,69,1,4,2006
440,2727.2727,.026905829,2406.1399,.97309417,89428.203,88225.133,1159735.1,12.968338,.89428204,.002274805,.027272725,70,1,4,2006
428,2102.8037,.020809248,1810.8636,.97919077,87022.063,86116.633,1071510,12.313085,.8702206,.0020451297,.021028036,71,1,4,2006
502,3386.4541,.033300687,2837.5913,.9666993,85211.195,83792.398,985393.38,11.564131,.85211194,.0035758526,.033864543,72,1,4,2006
453,2869.7571,.02829162,2330.4827,.97170836,82373.602,81208.359,901600.94,10.945266,.82373601,.003383744,.028697571,73,1,4,2006
440,5227.2729,.050941307,4077.501,.94905871,80043.117,78004.367,820392.56,10.249383,.80043119,.0065134452,.052272726,74,1,4,2006
399,5012.5313,.048899755,3714.7,.95110023,75965.617,74108.266,742388.25,9.7726879,.75965619,.00678225,.050125312,75,1,4,2006
430,4418.6045,.043230943,3123.4751,.95676905,72250.914,70689.18,668279.94,9.2494326,.72250915,.0062622456,.044186044,76,1,4,2006
364,5494.5054,.053475935,3696.6543,.94652408,69127.438,67279.109,597590.75,8.6447697,.6912744,.0078891823,.054945052,77,1,4,2006
329,5471.1245,.053254437,3484.4795,.94674557,65430.781,63688.543,530311.69,8.1049271,.65430784,.0078815129,.054711245,78,1,4,2006
323,8359.1328,.080237739,4970.4312,.91976225,61946.301,59461.086,466623.13,7.5327034,.61946303,.011716727,.083591327,79,1,4,2006
304,6578.9473,.063694268,3629.0364,.93630576,56975.871,55161.352,407162.03,7.1462188,.56975871,.0088959923,.065789476,80,1,4,2006
588,8163.2651,.078431368,4184.0654,.92156863,53346.836,51254.805,352000.69,6.5983424,.53346837,.010413297,.081632651,81,1,4,2006
528,10416.667,.099009901,4867.6011,.90099013,49162.77,46728.969,300745.88,6.1173501,.49162769,.01216559,.10416667,82,1,4,2006
484,9917.3555,.094488189,4185.3701,.9055118,44295.168,42202.484,254016.92,5.734642,.44295168,.010327213,.099173553,83,1,4,2006
406,12068.966,.11382114,4565.3428,.88617885,40109.797,37827.125,211814.44,5.2808652,.40109798,.010966794,.12068965,84,1,4,2006
371,10781.671,.10230179,3636.2612,.89769822,35544.453,33726.324,173987.31,4.8949218,.35544452,.008330809,.10781671,85,1,4,2006
300,14666.667,.13664597,4360.126,.86335403,31908.191,29728.129,140260.98,4.3957672,.3190819,.009473186,.14666668,86,1,4,2006
256,11718.75,.11070111,3049.6013,.88929892,27548.066,26023.266,110532.85,4.0123634,.27548066,.0060867318,.11718749,87,1,4,2006
178,19101.123,.17435896,4271.5269,.82564104,24498.465,22362.701,84509.586,3.4495871,.24498464,.0079009226,.19101122,88,1,4,2006
149,22147.65,.19939576,4033.1655,.80060422,20226.938,18210.355,62146.887,3.0724814,.20226938,.0065077739,.2214765,89,1,4,2006
124,21774.193,.19636363,3179.8677,.80363637,16193.771,14603.838,43936.531,2.7131748,.16193771,.004315522,.21774192,90,1,4,2006
103,21359.223,.19298245,2511.4551,.80701756,13013.904,11758.177,29332.693,2.2539504,.13013904,.0028430391,.21359222,91,1,4,2006
79,29113.924,.25414366,2669.1309,.74585634,10502.449,9167.8838,17574.516,1.6733731,.10502449,.0025088321,.29113925,92,1,4,2006
61,34426.23,.2937063,2300.6948,.7062937,7833.3184,6682.9707,8406.6328,1.0731893,.078333184,.001661035,.34426227,93,1,4,2006
64,25000,.22222222,1229.4719,.77777779,5532.6235,4917.8877,1723.6616,.31154507,.055326235,.00064258644,.25,94,1,4,2006
34,508823.53,1.4356847,6177.9683,-.43568468,4303.1514,1214.1672,-3194.2261,-.74229926,.043031514,.0025440753,5.0882349,95,1,4,2006
772,39896.375,.33261341,-623.58923,.66738659,-1874.8169,-1563.0222,-4408.3936,2.351373,-.01874817,.00011910345,.39896375,96,1,4,2006
486,38683.129,.32413793,-405.57034,.67586207,-1251.2277,-1048.4425,-2845.3711,2.2740633,-.012512277,.000051381034,.38683128,97,1,4,2006
296,45270.27,.36914599,-312.17102,.63085401,-845.65735,-689.57184,-1796.9286,2.1248896,-.0084565738,.000026622218,.45270267,98,1,4,2006
175,45142.855,.36829835,-196.48213,.63170165,-533.48633,-435.24527,-1107.3567,2.0756984,-.0053348634,.000010537974,.45142853,99,1,4,2006
95,53684.211,.42323652,-142.63249,.57676351,-337.00421,-265.68796,-672.11145,1.9943711,-.0033700422,4.8229740e-06,.53684211,100,1,4,2006
58,43103.449,.35460994,-68.92614,.64539003,-194.37172,-159.90865,-406.42352,2.0909603,-.0019437172,1.3423335e-06,.43103448,101,1,4,2006
26,42307.691,.34920633,-43.806389,.65079367,-125.44558,-103.54239,-246.51488,1.9651141,-.0012544558,5.5022116e-07,.42307687,102,1,4,2006
23,39130.434,.32727271,-26.718279,.67272729,-81.639191,-68.280052,-142.97249,1.7512727,-.0008163919,2.1830394e-07,.39130431,103,1,4,2006
18,50000,.40000001,-21.968367,.60000002,-54.920914,-43.936729,-74.692436,1.3599999,-.00054920913,1.2071854e-07,.50000006,104,1,4,2006
1,100000,.66666669,-21.968365,.33333331,-32.952545,-21.968363,-30.755707,.93333328,-.00032952544,7.2415204e-08,1.0000001,105,1,4,2006
2,50000,.40000001,-4.3936725,.60000002,-10.98418,-8.787344,-8.787344,.79999995,-.00010984181,4.8266191e-09,.50000006,106,1,4,2006
1,0,1,-6.590508,0,-6.590508,,,,-.000065905078,4.3437658e-09,,108,1,4,2006
11858,438.52252,.0043830457,436.81842,.99561697,100000,99611.398,2004095.9,20.040958,1,0,.004370349,65,2,1,2006
12229,1136.6425,.011311141,1126.1731,.98868889,99563.18,98921.258,1904484.5,19.128401,.99563181,.000048978454,.011366424,66,2,1,2006
13062,1156.0251,.011500425,1132.0674,.98849958,98437.008,97814.367,1805563.3,18.342321,.98437005,.00017417595,.011560251,67,2,1,2006
13376,1270.933,.012633863,1229.3373,.98736614,97304.938,96653.391,1707748.9,17.550486,.9730494,.00032238464,.01270933,68,2,1,2006
13600,1375,.013656114,1312.0194,.98634386,96075.602,95419.594,1611095.5,16.769039,.960756,.00049468252,.01375,69,2,1,2006
13989,1515.4764,.015040794,1425.3196,.98495919,94763.586,94050.93,1515675.9,15.994286,.94763589,.00070727372,.015154764,70,2,1,2006
13831,1713.542,.016989855,1585.8036,.98301017,93338.266,92545.367,1421624.9,15.23089,.93338263,.00098604464,.017135419,71,2,1,2006
14381,1981.7815,.019623369,1800.4924,.9803766,91752.461,90852.211,1329079.5,14.485492,.91752464,.0013624899,.019817816,72,2,1,2006
14593,2062.6328,.020415777,1836.4393,.97958422,89951.969,89033.75,1238227.4,13.765429,.89951968,.0016598478,.020626329,73,2,1,2006
15721,2518.9238,.024875935,2191.9563,.97512406,88115.531,87019.555,1149193.6,13.041897,.88115531,.0022954303,.02518924,74,2,1,2006
16357,2433.209,.024039622,2065.5703,.97596037,85923.578,84890.797,1062174,12.361846,.85923576,.0024983005,.024332089,75,2,1,2006
17045,2827.8088,.027883837,2338.283,.97211617,83858.008,82688.867,977283.25,11.654024,.83858007,.0031651824,.028278086,76,2,1,2006
17024,3318.844,.032646693,2661.3496,.96735328,81519.727,80189.055,894594.38,10.973962,.81519729,.0040093409,.03318844,77,2,1,2006
17684,3585.1616,.035220265,2777.4128,.96477973,78858.375,77469.672,814405.31,10.327442,.78858376,.0046304865,.035851616,78,2,1,2006
17394,4283.0859,.041932851,3190.2915,.95806718,76080.961,74485.813,736935.63,9.686203,.7608096,.00580564,.042830858,79,2,1,2006
17512,4265.6465,.041765675,3044.3281,.95823431,72890.672,71368.508,662449.81,9.0882664,.72890669,.0060156449,.042656463,80,2,1,2006
16929,5357.6704,.052178916,3644.5066,.94782108,69846.344,68024.094,591081.31,8.462595,.69846344,.0076757777,.053576704,81,2,1,2006
16884,5727.3159,.05567871,3686.033,.94432127,66201.836,64358.82,523057.25,7.9009476,.66201836,.0082475003,.057273161,82,2,1,2006
16540,6632.4063,.064195216,4013.2156,.93580478,62515.805,60509.195,458698.41,7.3373189,.62515807,.0094043873,.066324063,83,2,1,2006
15694,8589.2695,.082355812,4818.0283,.9176442,58502.59,56093.574,398189.22,6.8063521,.58502591,.011696756,.085892692,84,2,1,2006
16070,8823.8955,.084510401,4536.9038,.91548961,53684.563,51416.109,342095.66,6.3723283,.53684562,.011280667,.088238955,85,2,1,2006
15593,9305.458,.088917494,4370.0869,.91108251,49147.66,46962.617,290679.53,5.9144125,.4914766,.010922042,.093054585,86,2,1,2006
11462,10827.081,.10271054,4599.1289,.89728945,44777.574,42478.008,243716.92,5.4428344,.44777575,.011372386,.10827082,87,2,1,2006
10045,13399.701,.12558313,5045.7349,.87441689,40178.445,37655.578,201238.92,5.0086288,.40178445,.012127611,.13399701,88,2,1,2006
9262,15061.542,.14006728,4920.9434,.85993272,35132.711,32672.238,163583.34,4.6561551,.35132712,.011214652,.15061542,89,2,1,2006
7912,15874.621,.1470726,4443.3232,.85292739,30211.768,27990.105,130911.1,4.3331161,.30211768,.0093684178,.15874621,90,2,1,2006
6500,20384.615,.18499127,4766.9375,.81500876,25768.445,23384.977,102920.99,3.9940708,.25768444,.0091183484,.20384616,91,2,1,2006
5515,21396.191,.19328418,4059.2593,.80671585,21001.508,18971.879,79536.016,3.7871573,.21001507,.0067346659,.21396191,92,2,1,2006
4453,23894.004,.21344031,3616.1587,.7865597,16942.248,15134.169,60564.141,3.5747404,.16942248,.0050886045,.23894003,93,2,1,2006
3429,26946.631,.23747107,3164.5608,.7625289,13326.09,11743.81,45429.973,3.4091001,.13326091,.0036551452,.26946628,94,2,1,2006
2406,14962.594,.13921113,1414.598,.86078888,10161.529,9454.2305,33686.16,3.315068,.10161529,.0012913813,.14962593,95,2,1,2006
8,37500,.31578946,2762.1887,.68421054,8746.9316,7365.8374,24231.932,2.7703352,.087469317,.002204736,.37499997,96,2,1,2006
4,75000,.54545456,3264.4055,.45454544,5984.7432,4352.5405,16866.094,2.8181818,.059847433,.0018367412,.75000006,97,2,1,2006
5,0,0,0,1,2720.3376,2720.3376,12513.553,4.5999999,.027203377,0,0,98,2,1,2006
5,0,0,0,1,2720.3376,2720.3376,9793.2148,3.5999997,.027203377,0,0,99,2,1,2006
2,50000,.40000001,1088.1351,.60000002,2720.3376,2176.27,7072.8774,2.5999999,.027203377,.00028795705,.50000006,100,2,1,2006
2,0,0,0,1,1632.2025,1632.2025,4896.6074,3,.016322026,0,0,101,2,1,2006
2,50000,1,1632.2025,0,1632.2025,3264.405,3264.405,2,.016322026,.0002620602,,102,2,1,2006
24119,339.98093,.003398499,338.95651,.99660152,100000,99698.688,2135033.3,21.350332,1,0,.0033908684,65,2,2,2006
22407,781.00592,.0077839182,775.75342,.99221611,99661.047,99218.867,2035334.6,20.422569,.99661046,.000026205325,.007810059,66,2,2,2006
22185,874.46472,.0087103713,861.32764,.99128962,98885.297,98411.57,1936115.8,19.579411,.98885298,.000094942137,.0087446468,67,2,2,2006
20680,899.41974,.0089563364,877.93567,.99104369,98023.969,97558.664,1837704.1,18.747498,.98023969,.00017005473,.0089941975,68,2,2,2006
19058,1065.1694,.010595266,1029.288,.98940474,97146.031,96631.391,1740145.5,17.912678,.97146028,.00028537217,.010651694,69,2,2,2006
18006,1382.8724,.013733764,1320.0447,.98626626,96116.742,95456.719,1643514.1,17.099146,.9611674,.00049270183,.013828725,70,2,2,2006
16681,1234.938,.012273594,1163.4961,.98772639,94796.695,94214.945,1548057.4,16.330288,.94796693,.00057390175,.012349379,71,2,2,2006
15832,1402.2234,.013924607,1303.8055,.9860754,93633.203,92981.297,1453842.4,15.526996,.93633205,.00077725516,.014022234,72,2,2,2006
14943,1686.4083,.016723074,1544.0314,.9832769,92329.398,91557.383,1360861.1,14.739196,.92329401,.0010935167,.016864084,73,2,2,2006
15000,1866.6666,.018494055,1678.9895,.98150593,90785.367,89945.875,1269303.8,13.981369,.90785366,.0014045652,.018666666,74,2,2,2006
14376,2058.9873,.020380061,1815.9934,.97961992,89106.375,88198.375,1179357.9,13.235393,.89106375,.0017627692,.020589873,75,2,2,2006
13924,2154.5532,.021315901,1860.6731,.97868413,87290.383,86360.047,1091159.5,12.50034,.87290382,.0020642816,.021545531,76,2,2,2006
12962,2615.3372,.025815787,2205.4353,.97418422,85429.711,84326.992,1004799.4,11.761709,.8542971,.0027451839,.026153373,77,2,2,2006
