population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
9110,1394.0724,.013844225,1324.2059,.98615575,95650.422,94988.32,1446207,15.119714,.95650423,.00055092119,.013940724,70,1,4,2006
8496,1518.3616,.015069213,1421.4219,.98493081,94326.219,93615.508,1351218.8,14.324954,.94326216,.00076072587,.015183615,71,1,4,2006
7873,2032.2622,.020118196,1869.0769,.97988182,92904.797,91970.258,1257603.3,13.536472,.92904794,.0012320555,.020322623,72,1,4,2006
7657,2141.8311,.02119137,1929.1716,.97880864,91035.719,90071.133,1165633,12.804128,.91035718,.0015743388,.021418313,73,1,4,2006
7734,2211.0164,.021868406,1948.6182,.97813159,89106.547,88132.234,1075561.9,12.070515,.89106548,.0018914806,.022110164,74,1,4,2006
7388,2585.2734,.025522817,2224.5159,.97447717,87157.93,86045.672,987429.63,11.3292,.87157929,.0024898746,.025852734,75,1,4,2006
7178,3329.6182,.032750942,2781.6494,.96724904,84933.414,83542.586,901383.94,10.61283,.84933412,.0035595561,.033296183,76,1,4,2006
6683,3531.3481,.034700777,2850.7302,.96529925,82151.766,80726.398,817841.38,9.9552498,.82151765,.0041799229,.03531348,77,1,4,2006
6699,4060.3076,.039795171,3155.7983,.96020484,79301.039,77723.141,737114.94,9.2951488,.79301041,.0051800823,.040603071,78,1,4,2006
6079,4984.3726,.048631731,3703.075,.95136827,76145.242,74293.703,659391.81,8.6596584,.76145244,.0067263627,.049843725,79,1,4,2006
5773,5629.6553,.054755285,3966.5913,.94524473,72442.164,70458.867,585098.13,8.0767622,.72442162,.0079187015,.05629655,80,1,4,2006
5634,6567.27,.063584805,4354.0059,.9364152,68475.57,66298.57,514639.25,7.5156622,.68475568,.0093987891,.065672696,81,1,4,2006
5129,7038.4092,.067991339,4359.7109,.93200868,64121.563,61941.707,448340.66,6.9920421,.64121562,.01002987,.070384093,82,1,4,2006
4783,8258.415,.079309307,4739.6709,.92069072,59761.852,57392.016,386398.97,6.4656458,.59761852,.011397516,.08258415,83,1,4,2006
4203,10230.787,.097329102,5355.2593,.90267092,55022.18,52344.551,329006.94,5.9795332,.5502218,.013253077,.10230786,84,1,4,2006
4086,10841.899,.10284388,5107.939,.89715612,49666.922,47112.953,276662.41,5.5703554,.49666923,.012769281,.10841899,85,1,4,2006
3613,12067.534,.11380841,5071.187,.88619161,44558.984,42023.391,229549.44,5.1515861,.44558984,.012527836,.12067534,86,1,4,2006
2565,13450.292,.12602739,4976.5439,.87397259,39487.797,36999.523,187526.05,4.7489619,.39487797,.01189142,.13450292,87,1,4,2006
2141,15927.137,.14752325,5091.2124,.85247672,34511.254,31965.648,150526.53,4.3616652,.34511253,.011506642,.15927136,88,1,4,2006
1727,19513.607,.17778949,5230.5742,.82221049,29420.041,26804.754,118560.88,4.0299358,.29420042,.010861106,.19513607,89,1,4,2006
1391,19122.934,.17454068,4222.0459,.8254593,24189.467,22078.443,91756.125,3.7932265,.24189466,.0077424571,.19122933,90,1,4,2006
