population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,year
4343,10914.114,.10349344,5162.4268,.89650655,49881.68,47300.465,265843.78,5.3294873,.49881679,.012905994,.10914114,88,2,4,2006
3705,12685.56,.11928934,5334.5303,.88071066,44719.254,42051.988,218543.33,4.8870077,.44719255,.013187566,.1268556,89,2,4,2006
3150,14285.714,.13333333,5251.2959,.86666667,39384.723,36759.074,176491.34,4.4812131,.39384723,.012536502,.14285713,90,2,4,2006
2577,17850.213,.16387603,5593.6504,.83612394,34133.426,31336.602,139732.27,4.0937076,.34133425,.012575934,.17850214,91,2,4,2006
2131,18488.973,.16924399,4830.1855,.83075601,28539.775,26124.684,108395.66,3.7980559,.28539777,.0098509649,.18488973,92,2,4,2006
1739,20069.006,.18238831,4324.3521,.81761169,23709.59,21547.414,82270.977,3.4699452,.23709589,.0078219492,.20069008,93,2,4,2006
1409,23562.811,.21079364,4086.2849,.78920639,19385.238,17342.096,60723.566,3.1324642,.19385238,.006385786,.23562808,94,2,4,2006
978,27709.611,.24337673,3723.4092,.75662327,15298.953,13437.248,43381.469,2.8355842,.15298954,.0048249331,.27709609,95,2,4,2006
707,33663.367,.28813559,3335.3262,.71186441,11575.544,9907.8809,29944.223,2.5868523,.11575544,.0034139103,.33663365,96,2,4,2006
494,31578.947,.27272728,2247.3323,.72727275,8240.2178,7116.5518,20036.342,2.4315307,.082402177,.0016992541,.31578949,97,2,4,2006
319,38871.473,.3254593,1950.4404,.6745407,5992.8857,5017.6655,12919.789,2.1558545,.059928857,.0010988272,.38871473,98,2,4,2006
185,53513.512,.42217484,1706.6187,.57782519,4042.4453,3189.136,7902.1235,1.954788,.040424455,.00066200289,.53513509,99,2,4,2006
117,47863.246,.3862069,902.11237,.61379313,2335.8267,1884.7705,4712.9878,2.0176959,.023358267,.0002057958,.47863248,100,2,4,2006
57,40350.879,.33576643,481.39316,.66423357,1433.7144,1193.0178,2828.217,1.9726503,.014337144,.000068028508,.40350878,101,2,4,2006
37,43243.242,.35555553,338.60306,.64444447,952.32117,783.01965,1635.1992,1.717067,.009523212,.000031938805,.43243238,102,2,4,2006
24,58333.332,.45161289,277.16302,.54838711,613.71814,475.13663,852.17957,1.3885521,.0061371815,.000016905606,.58333331,103,2,4,2006
6,116666.66,.7368421,247.98798,.2631579,336.55511,212.56113,377.04297,1.1203008,.0033655511,8.3180730e-06,1.1666666,104,2,4,2006
10,10000,.095238097,8.4349661,.90476191,88.567139,84.349655,164.48183,1.8571428,.00088567141,7.4639914e-08,.10000001,105,2,4,2006
3,0,0,0,1,80.132172,80.132172,80.132172,1,.0008013217,0,0,106,2,4,2006
1,0,1,80.132172,0,80.132172,,,,.0008013217,6.4160190e-07,,107,2,4,2006
12815,1100.2731,.01098902,1089.5532,.98901099,100000,99025.711,1613889.8,16.138897,1,0,.010909011,65,1,1,2007
11260,2264.6536,.022428131,2218.3765,.97757185,98910.445,97645.969,1514864,15.315511,.98910445,.00023907081,.022646537,66,1,1,2007
10928,2617.1304,.025866671,2501.1018,.97413331,96692.07,95316.461,1417218,14.657024,.96692067,.00079997955,.026171302,67,1,1,2007
10566,2593.2236,.025619976,2413.1704,.97438002,94190.969,92911.992,1321901.5,14.03427,.94190967,.0013203865,.025932238,68,1,1,2007
10044,2827.5588,.027881406,2558.894,.97211862,91777.797,90498.352,1228989.5,13.390924,.91777796,.0019309819,.028275589,69,1,1,2007
9144,2974.6282,.029310346,2615.0369,.97068965,89218.906,87911.391,1138491.3,12.76065,.89218909,.0025153446,.029746281,70,1,1,2007
8683,3547.1611,.034853458,3018.4443,.96514654,86603.867,85094.648,1050579.9,12.130866,.86603868,.0035018688,.035471614,71,1,1,2007
8269,3507.0747,.034466367,2880.8857,.96553361,83585.422,82144.977,965485.19,11.55088,.83585423,.0039526313,.035070747,72,1,1,2007
7753,4024.2488,.039448731,3183.6917,.96055126,80704.539,79112.695,883340.19,10.945359,.8070454,.0049577439,.040242489,73,1,1,2007
7374,4163.2764,.040783793,3161.594,.95921624,77520.844,75940.047,804227.5,10.374339,.77520841,.005509404,.041632764,74,1,1,2007
7336,4457.4702,.04360291,3242.2798,.95639712,74359.25,72738.109,728287.44,9.7941742,.7435925,.006181818,.044574704,75,1,1,2007
6935,5263.1577,.051282048,3647.0239,.94871795,71116.969,69293.453,655549.31,9.2179031,.71116966,.0074912556,.052631576,76,1,1,2007
6834,5618.9639,.05465414,3687.5117,.94534588,67469.945,65626.188,586255.88,8.6891413,.67469943,.0080933543,.056189638,77,1,1,2007
6277,6898.1997,.066682063,4253.144,.93331796,63782.434,61655.863,520629.69,8.1625872,.63782436,.009824953,.06898199,78,1,1,2007
6249,6401.0239,.062025119,3692.3113,.93797487,59529.289,57683.133,458973.84,7.7100506,.59529287,.0088954885,.06401024,79,1,1,2007
5539,8340.8555,.080069318,4470.8286,.9199307,55836.977,53601.563,401290.69,7.1868267,.55836976,.011024749,.083408549,80,1,1,2007
5414,8348.7256,.080141842,4116.5776,.91985816,51366.148,49307.859,347689.13,6.7688379,.5136615,.010283762,.08348725,81,1,1,2007
5014,9553.251,.091177315,4308.0889,.90882266,47249.57,45095.527,298381.28,6.3150053,.4724957,.010737632,.095532514,82,1,1,2007
4674,10077.021,.095936447,4119.6533,.90406358,42941.48,40881.652,253285.75,5.8983936,.42941481,.010093881,.10077022,83,1,1,2007
