population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,level_education,year
2918,12440.027,.11711566,3801.6963,.88288432,32461.041,30560.193,169676.83,5.2270913,.32461041,.008334782,.12440027,85,1,1,1,2006
2575,14485.437,.13507152,3871.061,.86492848,28659.344,26723.813,139116.64,4.854146,.28659344,.0079146801,.14485437,86,1,1,1,2006
1976,15080.972,.14023529,3476.1921,.8597647,24788.283,23050.188,112392.82,4.5341105,.24788283,.0064809057,.15080972,87,1,1,1,2006
1538,16970.092,.15642793,3333.8064,.84357208,21312.092,19645.189,89342.633,4.1921101,.21312092,.0055908067,.16970091,88,1,1,1,2006
1302,19738.863,.17965746,3229.9331,.82034254,17978.285,16363.318,69697.445,3.8767571,.17978285,.0047628907,.19738863,89,1,1,1,2006
1082,21072.088,.19063544,2811.5586,.80936456,14748.352,13342.572,53334.125,3.616277,.14748351,.0035350323,.21072088,90,1,1,1,2006
799,24655.82,.2194986,2620.1094,.78050137,11936.793,10626.738,39991.555,3.3502762,.11936793,.0027542387,.24655819,91,1,1,1,2006
664,28313.254,.24802111,2310.7341,.75197887,9316.6836,8161.3164,29364.816,3.1518528,.093166836,.0019522648,.28313252,92,1,1,1,2006
495,26666.666,.23529412,1648.4586,.7647059,7005.9492,6181.7197,21203.5,3.0264993,.070059493,.0010739899,.26666665,93,1,1,1,2006
335,31343.283,.27096775,1451.7073,.72903228,5357.4907,4631.6372,15021.779,2.8038833,.053574909,.0007360829,.31343287,94,1,1,1,2006
192,14583.333,.13592233,530.88318,.86407769,3905.7834,3640.3418,10390.143,2.6601942,.039057836,.00019925278,.14583333,95,1,1,1,2006
1,0,0,0,1,3374.9004,3374.9004,6749.8008,2,.033749003,0,0,97,1,1,1,2006
1,0,0,0,1,3374.9004,3374.9004,3374.9004,1,.033749003,0,0,100,1,1,1,2006
0,,1,3374.9004,0,3374.9004,,,,.033749003,.0011005553,,101,1,1,1,2006
5409,887.40985,.0088651776,880.43494,.99113482,100000,99214.016,1618161.3,16.181612,1,0,.0088131484,65,1,1,2,2006
4694,2812.1006,.027785029,2754.04,.972215,99119.563,97549.758,1518947.1,15.324393,.99119562,.00024034131,.028121008,66,1,1,2,2006
4445,2204.7244,.021830656,2103.7227,.97816932,96365.523,95208.477,1421397.4,14.750061,.96365523,.0007368041,.022047244,67,1,1,2,2006
3940,3045.6853,.030027024,2830.4014,.96997297,94261.797,92761.688,1326189,14.06921,.94261795,.0015309455,.030456854,68,1,1,2,2006
3444,2700.3484,.026643747,2436.0752,.97335625,91431.398,90213.359,1233427.3,13.490193,.91431397,.001908517,.027003486,69,1,1,2,2006
3175,3401.5747,.033446886,2976.6162,.96655309,88995.32,87507.016,1143213.9,12.845776,.8899532,.002915194,.034015745,70,1,1,2,2006
2910,3024.0549,.029790115,2562.5071,.9702099,86018.703,84737.453,1055706.9,12.272992,.86018705,.0030818065,.030240551,71,1,1,2,2006
2604,3878.6482,.038048595,3175.3911,.96195138,83456.195,81868.5,970969.44,11.63448,.83456194,.0043842085,.038786482,72,1,1,2,2006
2334,3898.886,.038243327,3070.2051,.96175665,80280.805,78745.703,889100.94,11.074888,.80280805,.0048603583,.038988858,73,1,1,2,2006
2193,4879.1611,.047629647,3677.5137,.95237035,77210.602,75371.844,810355.25,10.495388,.77210599,.0064708916,.04879161,74,1,1,2,2006
2048,4638.6719,.045335241,3333.6401,.95466477,73533.086,71866.266,734983.38,9.9952745,.73533088,.0064879097,.046386719,75,1,1,2,2006
1906,4826.8623,.047131144,3308.5801,.95286888,70199.445,68545.156,663117.13,9.446188,.70199448,.0069214911,.04826862,76,1,1,2,2006
1726,4982.6187,.048615035,3251.9019,.95138496,66890.867,65264.918,594571.94,8.8886862,.66890866,.0072019827,.049826186,77,1,1,2,2006
1662,5415.1626,.052724078,3355.3057,.94727594,63638.965,61961.313,529307.06,8.3173428,.63638967,.0077641062,.054151624,78,1,1,2,2006
1402,5991.4409,.058171745,3506.8057,.94182825,60283.66,58530.258,467345.72,7.7524443,.60283661,.0083961571,.059914406,79,1,1,2,2006
1419,7258.6328,.070044205,3976.8896,.92995578,56776.855,54788.41,408815.47,7.2003894,.56776857,.0097595826,.072586328,80,1,1,2,2006
1292,8436.5322,.08095061,4274.1895,.91904938,52799.965,50662.871,354027.06,6.7050624,.52799964,.010651965,.084365323,81,1,1,2,2006
1158,9499.1367,.090684257,4400.5239,.90931576,48525.773,46325.512,303364.19,6.2516093,.48525774,.010991746,.094991371,82,1,1,2,2006
1018,10019.646,.095416278,4210.2671,.90458369,44125.25,42020.117,257038.69,5.8252063,.4412525,.01038036,.10019647,83,1,1,2,2006
877,12656.784,.11903485,4751.2739,.88096517,39914.984,37539.348,215018.56,5.3869133,.39914984,.011394945,.12656784,84,1,1,2,2006
793,14501.892,.13521458,4754.6465,.86478543,35163.711,32786.387,177479.22,5.0472264,.3516371,.010840044,.14501892,85,1,1,2,2006
759,11857.707,.11194029,3403.9995,.88805974,30409.064,28707.064,144692.83,4.7582135,.30409065,.0072035282,.11857706,86,1,1,2,2006
487,13552.361,.12692307,3427.5657,.87307692,27005.064,25291.281,115985.77,4.2949634,.27005064,.0067565301,.1355236,87,1,1,2,2006
381,18110.236,.16606498,3915.3967,.83393502,23577.498,21619.799,90694.484,3.8466544,.23577498,.0070549627,.18110237,88,1,1,2,2006
319,16927.9,.15606937,3068.6519,.8439306,19662.102,18127.775,69074.688,3.5130877,.19662102,.0048472788,.16927901,89,1,1,2,2006
214,17757.01,.16309014,2706.228,.83690989,16593.449,15240.335,50946.91,3.0703025,.16593449,.0037454257,.1775701,90,1,1,2,2006
145,31724.139,.27380952,3802.4534,.72619045,13887.221,11985.994,35706.578,2.5711825,.13887221,.004547229,.3172414,91,1,1,2,2006
108,37037.035,.3125,3151.4897,.6875,10084.768,8509.0225,23720.582,2.3521199,.10084768,.0028576897,.37037036,92,1,1,2,2006
91,20879.121,.18905473,1310.7689,.81094527,6933.2778,6277.8936,15211.561,2.1939926,.069332778,.00084578345,.20879121,93,1,1,2,2006
63,26984.127,.23776224,1336.8203,.76223779,5622.5088,4954.0986,8933.666,1.5889109,.056225087,.00070936803,.26984128,94,1,1,2,2006
39,15384.615,.14285713,612.24115,.85714287,4285.6885,3979.5679,3979.5679,.9285714,.042856883,.00025114237,.15384614,95,1,1,2,2006
1,0,1,3673.4473,0,3673.4473,,,,.036734473,.0012998512,,98,1,1,2,2006
1094,914.07678,.0091313031,906.67664,.99086869,100000,99190.422,1858857,18.58857,1,0,.009076098,65,1,1,3,2006
900,2333.3333,.023101548,2289.209,.97689843,99093.32,97788.469,1759666.6,17.757671,.99093318,.00020567657,.023333332,66,1,1,3,2006
813,1230.0123,.012232416,1184.1482,.98776758,96804.109,96152.828,1661878.1,17.167433,.96804112,.00036634595,.012300123,67,1,1,3,2006
770,1038.9611,.010339123,988.62653,.98966086,95619.961,95095.992,1565725.3,16.37446,.95619959,.00041405595,.01038961,68,1,1,3,2006
660,2575.7576,.025430067,2406.4812,.97456992,94631.336,93428.094,1470629.3,15.540616,.94631338,.0012225976,.025757575,69,1,1,3,2006
