population,_Rx,_qx,_dx,_px,_lx,_Lx,_Tx,_ExpYL,_Surv,_SurvVar,_HRate,age,sex,level_income,neighborhood_deprivation,year
219,27853.881,.24448897,1794.5046,.75551105,7339.8184,6442.5659,21288.332,2.9003894,.07339818,.0012204584,.27853879,93,1,1,3,2006
164,19512.195,.17777778,985.83356,.82222223,5545.3135,5052.3965,14845.767,2.6771736,.055453137,.00051636074,.19512196,94,1,1,3,2006
67,52238.805,.41420117,1888.542,.58579886,4559.48,3615.209,9793.3701,2.1479139,.0455948,.00082181633,.52238804,95,1,1,3,2006
65,40000,.33333334,890.31268,.66666663,2670.938,2225.7817,6178.1606,2.3131053,.02670938,.00023144558,.40000001,96,1,1,3,2006
38,39473.684,.32967034,587.01935,.67032969,1780.6252,1487.1156,3952.3792,2.2196581,.017806252,.00010266493,.39473689,97,1,1,3,2006
32,53125,.41975307,501.01978,.58024693,1193.606,943.09607,2465.2634,2.0653913,.011936059,.000059088215,.53125,98,1,1,3,2006
22,50000,.40000001,277.03448,.60000002,692.58618,554.06897,1522.1675,2.1978023,.0069258618,.000019054138,.5,99,1,1,3,2006
11,36363.637,.30769232,127.86207,.69230771,415.5517,351.62067,968.09845,2.3296702,.0041555171,5.2912505e-06,.36363637,100,1,1,3,2006
3,33333.332,.28571427,82.197037,.71428573,287.68964,246.59113,616.47778,2.1428571,.0028768964,2.3579205e-06,.33333331,101,1,1,3,2006
7,0,0,0,1,205.4926,205.4926,369.88666,1.8,.002054926,0,0,102,1,1,3,2006
2,50000,.40000001,82.197044,.60000002,205.4926,164.39407,164.39407,.79999995,.002054926,1.6856175e-06,.50000006,103,1,1,3,2006
1,0,1,123.29556,0,123.29556,,,,.0012329556,1.5183052e-06,,106,1,1,3,2006
4295,1583.2363,.015803989,1561.0524,.98419601,100000,98598.82,1509301.1,15.093011,1,0,.015638206,65,1,1,4,2006
4041,3464.489,.034136351,3360.3464,.96586365,98438.945,96523.547,1410702.4,14.330734,.98438942,.00051638059,.034644891,66,1,1,4,2006
4251,2987.5322,.02947901,2802.823,.97052097,95078.602,93537.047,1314178.8,13.822024,.95078599,.0013114966,.029875321,67,1,1,4,2006
3980,3140.7036,.030950172,2855.9512,.96904981,92275.781,90762.125,1220641.8,13.228192,.9227578,.0020356032,.031407036,68,1,1,4,2006
3649,3261.1675,.032088447,2869.3435,.96791154,89419.828,87985.156,1129879.6,12.635672,.8941983,.00271462,.032611676,69,1,1,4,2006
3395,3711.3401,.036437247,3153.6614,.96356273,86550.484,84973.656,1041894.4,12.037996,.86550486,.0036710573,.037113402,70,1,1,4,2006
